Artist,Track,Year,PreviousHit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
martina mcbride,pick me up on your way down,2005,1,0.736,0.614,0,-6.185,1,0.0249,0.416,0,0.108,0.896,130.967,0
simon & garfunkel,citizen of the planet,2004,0,0.419,0.466,7,-13.067,1,0.0365,0.637,0,0.302,0.521,74.887,0
k-os,man i used to be,2007,0,0.59,0.652,2,-7.629,0,0.315,0.0569,0,0.135,0.835,208.104,0
unk,2 step,2007,1,0.721,0.72,9,-6.145,0,0.192,0.0564,0,0.173,0.643,76.976,1
funeral for a friend,kicking and screaming,2009,0,0.465,0.94,2,-4.096,1,0.0565,0.000554,0,0.27,0.503,134.033,0
this is hell,reckless,2008,0,0.225,0.926,5,-5.382,0,0.136,3.3e-05,0.00162,0.109,0.411,149.833,0
avril lavigne,unwanted,2002,0,0.475,0.837,4,-5.324,0,0.0612,0.000171,0.0227,0.627,0.622,162.074,0
ying yang twins,whistle while you twurk,2000,0,0.935,0.608,1,-7.236,0,0.085,0.00155,0,0.342,0.0664,101.992,1
arthur tracy,red sails in the sunset,2010,0,0.267,0.19,7,-15.146,1,0.0355,0.994,0.0268,0.186,0.27,170.86,0
ashton shepherd,sounds so good,2008,0,0.523,0.897,4,-3.487,1,0.0423,0.291,0,0.288,0.634,154.263,0
imx,stay the night,2001,0,0.585,0.709,11,-5.604,1,0.0611,0.0111,0,0.202,0.726,183.22,1
glee cast,dont stand so close to me / young girl,2009,1,0.677,0.702,3,-7.319,1,0.0522,0.175,0,0.0846,0.791,139.99,1
rise against,drones,2006,0,0.524,0.995,8,-3.717,1,0.054,0.000111,4.91e-06,0.0561,0.427,104.683,0
boyz ii men,in my life,2009,1,0.585,0.439,2,-10.066,1,0.0285,0.823,1.92e-06,0.143,0.442,95.036,0
22-20s,hold on,2004,0,0.372,0.709,9,-6.526,0,0.0379,0.00637,0.834,0.106,0.0746,133.333,0
ann hampton callaway,for all we know,2005,0,0.377,0.113,3,-15.279,1,0.0369,0.969,0.000386,0.105,0.201,173.002,0
david arkenstone,big bounce,2009,0,0.754,0.422,6,-13.382,0,0.032,0.044,0.689,0.0431,0.721,108.008,0
the-dream,falsetto,2007,0,0.728,0.557,0,-4.467,1,0.0317,0.152,2.27e-05,0.113,0.512,131.018,1
wet wet wet,hear me now,2004,0,0.447,0.6,2,-7.67,1,0.0269,0.0791,0,0.391,0.2,95.388,0
the shins,phantom limb,2007,0,0.515,0.871,9,-4.113,1,0.0367,0.000585,0,0.0877,0.498,119.869,1
marco beltrami,dead hackers,2007,0,0.153,0.119,11,-20.757,1,0.0384,0.812,0.926,0.0777,0.0388,135.481,0
converge,locust reign (live in california),2003,0,0.316,0.934,10,-3.973,1,0.21,2.8e-05,0.168,0.372,0.14,111.557,0
toby keith,whiskey girl,2008,1,0.645,0.876,6,-3.665,1,0.0527,0.0154,0,0.215,0.544,123.059,1
behemoth,no sympathy for fools,2002,0,0.431,0.903,1,-6.405,1,0.0891,2.61e-05,0.0362,0.273,0.386,92.379,0
sade,morning bird,2010,1,0.359,0.126,7,-17.325,0,0.0405,0.678,0.000483,0.143,0.0636,175.466,0
the ting tings,thats not my name,2008,0,0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042,1
ryan cabrera,shine on,2005,1,0.242,0.831,1,-5.556,1,0.0835,0.0242,0,0.257,0.623,190.078,1
john ottman,the people you care for,2006,0,0.206,0.303,5,-14.514,0,0.0392,0.878,0.914,0.111,0.0368,115.755,0
maximilian hecker,full of voices,2007,0,0.254,0.799,8,-8.418,1,0.0959,0.0874,0.0126,0.943,0.387,195.006,0
los fabulosos cadillacs,la vida,2005,0,0.519,0.985,7,-2.759,1,0.0607,0.0571,0,0.168,0.719,108.579,0
radio moscow,broke down,2009,0,0.386,0.875,0,-6.823,1,0.101,0.00445,0.00175,0.24,0.792,75.896,0
glee cast,only the good die young,2010,1,0.572,0.885,0,-5.6,1,0.0866,0.288,0,0.0936,0.535,150.072,1
skrape,searching for home,2003,0,0.459,0.4,10,-9.745,1,0.0263,0.114,4.2e-06,0.104,0.127,133.924,0
glee cast,i want to hold your hand,2010,1,0.484,0.261,7,-10.951,1,0.0267,0.664,1.09e-05,0.17,0.215,78.015,1
maurice chevalier,la romance de la pluie,2007,0,0.523,0.135,10,-21.816,1,0.129,0.984,0.523,0.102,0.535,128.313,0
luther vandross,dance with my father,2003,1,0.739,0.341,10,-9.971,1,0.0378,0.525,1.1e-06,0.072,0.231,80.958,1
koffee brown,after party,2001,0,0.802,0.552,5,-4.796,0,0.0503,0.0492,1.7e-06,0.0224,0.601,105.481,1
kelly rowland,stole,2002,0,0.649,0.718,7,-4.984,0,0.0594,0.00676,4.26e-06,0.174,0.477,79.993,1
madonna,jump [jacques lu cont edit],2006,1,0.618,0.781,4,-7.707,0,0.0308,0.00123,0.832,0.492,0.638,130.01,0
ffh,why do i,2001,0,0.523,0.573,0,-7.602,1,0.0282,0.145,6.67e-06,0.224,0.513,82.052,0
maria muldaur,it feels like rain,2000,0,0.374,0.2,5,-17.175,0,0.0412,0.874,0.00044,0.134,0.13,174.857,0
smartbomb,complicate it,2001,0,0.566,0.95,0,-2.798,1,0.0631,0.00169,7.94e-06,0.307,0.826,132.031,0
missy elliott,shake your pom pom,2008,1,0.769,0.895,6,-3.914,0,0.199,0.108,0,0.291,0.539,98.466,1
cut copy,future,2004,0,0.69,0.868,9,-8.944,0,0.0389,0.0913,0.271,0.133,0.657,119.49,0
glee cast featuring jonathan groff,hello,2010,1,0.586,0.3,7,-9.517,0,0.0335,0.812,0,0.117,0.319,121.766,1
joe bataan,keep the change,2005,0,0.65,0.954,5,-7.559,1,0.0581,0.103,0.745,0.0903,0.902,105.066,0
the rapture,the devil,2006,0,0.638,0.777,1,-6.372,1,0.0283,2.78e-06,0.102,0.176,0.437,119.853,0
glee cast,welcome christmas,2010,1,0.419,0.254,11,-9.302,1,0.0297,0.911,0,0.275,0.0819,110.822,1
maxwell,pretty wings,2009,1,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,1
metallica,the end of the line,2008,1,0.335,0.985,4,-2.383,0,0.0921,0.000115,0.000807,0.135,0.202,106.552,0
sub focus,follow the light (radio edit),2009,0,0.402,0.865,7,-7.75,1,0.0548,0.00666,0.337,0.0964,0.0574,173.965,0
rodney o & joe cooley,supercuts,2008,0,0.894,0.723,6,-7.889,0,0.224,0.000163,0.000269,0.092,0.578,118.876,0
jinny,keep warm,2010,0,0.674,0.884,0,-7.921,1,0.042,0.00243,0.0287,0.116,0.796,123.99,1
limp bizkit,rollin,2000,1,0.599,0.932,9,-3.328,1,0.18,0.00506,0,0.269,0.692,96.234,1
kane,damn those eyes,2004,0,0.26,0.461,10,-11.193,0,0.0569,0.447,0,0.147,0.161,167.788,0
trace adkins,the rest of mine,2010,1,0.579,0.477,7,-5.646,1,0.0247,0.378,8.97e-06,0.0776,0.297,85.445,1
nicolas bacchus,josy,2010,0,0.619,0.569,0,-5.966,0,0.305,0.76,0,0.733,0.697,133.663,0
sheryl crow,the first cut is the deepest,2003,1,0.498,0.68,2,-5.34,1,0.0332,0.0483,0,0.169,0.695,160.043,1
patton oswalt,a brief history of shitty comedy,2004,0,0.738,0.578,2,-11.461,1,0.948,0.767,0,0.673,0.617,52.374,0
trisha yearwood,ill still love you more,2008,1,0.488,0.528,6,-6.127,0,0.03,0.571,0,0.206,0.164,147.871,1
phantom planet,the meantime,2004,0,0.471,0.978,11,-3.124,0,0.12,4.86e-05,0.105,0.285,0.333,132.809,0
the stooges,t.v. eye (take 3),2005,0,0.418,0.916,9,-6.679,1,0.0526,0.00268,0.706,0.346,0.662,132.384,0
phil vassar,like i never loved before,2000,0,0.424,0.459,9,-7.879,1,0.0356,0.606,0.000137,0.277,0.159,144.222,0
the distillers,world comes tumblin down,2000,0,0.164,0.97,7,-3.479,1,0.0692,0.000647,0.00977,0.2,0.318,172.118,0
the black crowes,girl from a pawnshop,2010,1,0.349,0.305,7,-12.257,1,0.0305,0.396,1.05e-05,0.14,0.138,114.896,0
carlos vives,cancion de amor eterno,2002,0,0.496,0.209,9,-17.058,0,0.0375,0.901,0.00288,0.106,0.187,132.615,0
jennifer lopez,still,2002,1,0.737,0.674,6,-5.196,1,0.0352,0.0513,0.000947,0.211,0.393,95.691,0
b.b. king,early in the morning,2005,0,0.609,0.717,9,-6.925,1,0.0353,0.268,0,0.0768,0.679,84.2,0
ryandan,wind beneath my wings,2007,0,0.253,0.281,8,-8.051,1,0.0323,0.926,9.7e-05,0.112,0.108,142.513,0
alice in chains,lesson learned,2009,0,0.44,0.95,1,-3.639,1,0.0533,9.27e-06,0.0077,0.112,0.323,108.023,0
winston reedy,daughter of zion,2007,0,0.687,0.465,6,-8.134,0,0.06,0.0363,0.0414,0.0539,0.545,76.807,0
various production,lost (actress remix),2008,0,0.599,0.527,10,-12.49,0,0.0484,0.118,0.868,0.0981,0.189,118.577,0
t.i.,bring em out,2004,1,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,1
shinedown,second chance,2008,1,0.46,0.796,0,-4.501,0,0.0333,0.00107,0,0.106,0.182,100.011,1
2 minutos,1987,2007,0,0.378,0.984,4,-3.962,1,0.145,9.96e-05,0,0.62,0.618,97.69,0
missy elliott,im really hot,2003,1,0.879,0.644,7,-8.595,1,0.201,0.345,3.7e-06,0.272,0.856,114.002,1
weezer,dope nose,2002,0,0.416,0.724,10,-4.87,1,0.0512,0.000336,0.0788,0.247,0.819,127.357,0
nightwish,escapist,2007,0,0.512,0.926,7,-3.556,0,0.0371,0.000473,0.843,0.345,0.354,143.954,0
aaron watson,sweet contradiction,2008,0,0.331,0.68,9,-9.059,1,0.0335,0.227,7.37e-05,0.109,0.671,92.277,0
hot club of cowtown,cabiria,2009,0,0.728,0.551,0,-10.499,1,0.0299,0.771,0.00504,0.354,0.916,131.887,0
maximilian hecker,let me out,2001,0,0.474,0.191,2,-12.002,1,0.0296,0.865,0.000175,0.0996,0.0562,132.002,0
brooks & dunn,thats what she gets for loving me,2004,1,0.635,0.572,9,-4.49,1,0.0291,0.116,0,0.144,0.285,127.206,1
keith urban,you look good in my shirt,2002,0,0.653,0.865,7,-6.395,1,0.0325,0.0075,1.18e-06,0.0629,0.828,116.966,1
b2k featuring fabolous,badaboom,2003,0,0.8,0.644,4,-4.898,1,0.148,0.0215,0.00059,0.0924,0.816,96.015,1
capleton,say yeah,2009,0,0.75,0.903,3,-3.894,1,0.294,0.227,0,0.0849,0.888,95.92,0
a tundra,the doug mccomb over,2010,0,0.41,0.652,2,-9.919,1,0.075,0.00804,0.00947,0.0811,0.311,127.406,0
beyonce,"me, myself and i",2003,1,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,1
rubyhorse,evergreen,2002,0,0.508,0.814,2,-6.476,1,0.0511,0.00236,0.00805,0.195,0.315,129.893,0
trentemoller,in progress (original mix),2009,0,0.724,0.697,9,-10.401,0,0.0502,0.00619,0.784,0.158,0.614,124.985,0
cama,walk with you,2009,0,0.857,0.691,4,-4.323,1,0.0324,0.165,0.000177,0.0936,0.964,93.048,0
james hunter,class act,2008,0,0.772,0.605,2,-5.958,0,0.0401,0.562,0,0.147,0.939,101.867,0
chris brown,crawl,2009,1,0.41,0.743,5,-6.356,0,0.0591,0.0416,0,0.113,0.417,176.048,1
2gether,the hardest part of breaking up (is getting back your stuff),2006,0,0.83,0.948,9,-3.973,0,0.0455,0.106,2.29e-06,0.105,0.931,111.993,1
lloyd banks,south side story,2004,0,0.631,0.715,1,-2.825,1,0.198,0.00996,0,0.0756,0.216,85.33,0
demi lovato,catch me,2009,1,0.425,0.283,4,-12.007,1,0.0387,0.481,0,0.289,0.467,92.66,1
miley cyrus,breakout,2008,1,0.44,0.852,4,-3.677,1,0.0565,0.000171,3.63e-06,0.234,0.823,159.981,1
snowgoons,been fighting devilz,2009,0,0.52,0.846,1,-5.138,1,0.327,0.123,0,0.297,0.876,125.55,0
gus viseur,fausse monnaie,2010,0,0.65,0.38,2,-10.342,0,0.0733,0.949,0.505,0.316,0.85,178.836,0
zeca baleiro,telegrama,2008,0,0.643,0.501,11,-7.981,0,0.0424,0.117,0.0463,0.239,0.394,94.514,0
badmarsh & shri,dancing drums,2005,0,0.669,0.821,5,-9.595,1,0.0584,0.0385,0.808,0.347,0.618,144.078,0
wolfmother,cosmonaut,2009,0,0.249,0.86,9,-4.032,1,0.0397,4.05e-05,0.0133,0.248,0.206,136.559,0
glee cast,its my life / confessions part ii,2009,1,0.586,0.882,11,-3.794,0,0.0487,0.0385,0,0.32,0.706,131.008,1
big & rich,lost in this moment,2007,0,0.599,0.574,11,-7.363,1,0.0434,0.32,0,0.226,0.677,147.751,1
sean paul,so fine,2009,1,0.875,0.843,6,-3.292,0,0.246,0.0299,0,0.0552,0.586,136.974,1
since the flood,guardian angel,2008,0,0.177,0.981,1,-2.099,1,0.0981,9.91e-05,6.25e-05,0.098,0.442,177.136,0
jennifer lopez,que hiciste,2007,1,0.641,0.659,2,-7.149,0,0.0857,0.541,6.02e-06,0.162,0.628,116.148,1
glee cast,keep holding on,2009,0,0.311,0.637,7,-6.303,1,0.0347,0.175,0,0.483,0.102,160.745,1
dimmu borgir,broderskapets ring,2005,0,0.151,0.96,7,-4.986,0,0.0727,1.66e-06,0.862,0.16,0.19,180.095,0
thirty seconds to mars,the kill (bury me),2007,1,0.32,0.927,4,-3.86,0,0.0695,0.00208,0.000862,0.22,0.316,183.007,1
the presets,if i know you,2008,0,0.674,0.645,9,-4.687,0,0.0449,0.259,1.11e-06,0.0846,0.339,128.981,0
defect & quixotic,wriststraining order,2004,0,0.489,0.92,8,-5.066,0,0.349,0.0269,0.132,0.152,0.734,100.935,0
trivium,the deceived,2005,0,0.512,0.946,6,-3.854,0,0.0393,4.03e-05,0.00696,0.326,0.429,106.038,0
gorilla zoe,hood figga,2007,0,0.814,0.713,1,-5.089,1,0.107,0.0162,0,0.123,0.145,174.264,1
truckfighters,traffic,2007,0,0.245,0.856,11,-4.976,1,0.0558,0.129,0.886,0.0893,0.446,147.294,0
aly & aj,like whoa,2007,1,0.7,0.831,6,-4.931,1,0.0681,0.0124,0.000966,0.0949,0.808,121.003,1
sex pistols,chatterbox,2010,0,0.25,0.775,4,-5.715,0,0.0381,1.77e-06,0.899,0.366,0.38,146.752,0
steinski,silent partner (peace out),2008,0,0.658,0.425,2,-17.873,0,0.299,0.671,5.9e-06,0.387,0.445,102.499,0
patty griffin,all creatures of our god and king,2010,0,0.315,0.0749,9,-14.356,1,0.0394,0.957,1.86e-06,0.0966,0.224,93.522,0
babylon disco,funk you,2005,0,0.5,0.886,10,-5.706,0,0.14,0.0807,0.0163,0.325,0.466,99.429,0
the almost,summer summer,2009,0,0.435,0.83,4,-5.305,0,0.0407,0.00022,0,0.153,0.211,136.175,0
kenny chesney,living in fast forward,2009,1,0.681,0.91,9,-5.22,1,0.0358,0.0233,0.000574,0.136,0.918,116.96,1
martha wainwright,comin tonight,2008,0,0.567,0.751,9,-4.399,1,0.0343,0.24,5.12e-06,0.102,0.705,127.132,0
this or the apocalypse,two wars,2008,0,0.119,0.985,9,-4.095,0,0.132,4.36e-06,0.405,0.372,0.0395,165.033,0
cassidy,im a hustla,2005,0,0.727,0.913,8,-5.571,0,0.306,0.283,0,0.527,0.618,90.985,1
beyonce,at last,2008,1,0.26,0.26,5,-10.669,1,0.0329,0.666,0.00447,0.175,0.318,172.655,1
50 cent,wanksta,2003,1,0.81,0.868,1,-3.521,1,0.156,0.0224,0,0.145,0.884,81.018,1
phil collins,please come out tonight,2004,1,0.39,0.243,3,-13.074,1,0.0296,0.853,0.00023,0.111,0.145,179.642,0
paramore,crushcrushcrush,2007,0,0.631,0.793,1,-4.086,0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96,1
the verve pipe,medicate myself,2001,0,0.511,0.781,9,-4.641,1,0.0426,0.00143,0,0.0826,0.424,133.575,0
mau mau,neir,2004,0,0.534,0.802,1,-7.335,1,0.0657,0.218,4.48e-06,0.136,0.645,81.094,0
first blood,execution,2006,0,0.335,0.963,4,-2.295,0,0.151,0.00229,0.0122,0.35,0.406,160.431,0
the strokes,meet me in the bathroom,2003,0,0.426,0.94,7,-3.973,1,0.0337,6.7e-05,0.883,0.0772,0.595,139.952,0
jason aldean,why,2005,1,0.568,0.695,9,-3.828,1,0.0294,0.0688,0,0.15,0.218,135.926,1
tina ann,i do (chris the greek remix),2004,0,0.647,0.943,8,-5.79,0,0.0376,0.00625,0.0169,0.0838,0.616,133.995,0
tim mcgraw,felt good on my lips,2010,1,0.56,0.869,3,-3.804,1,0.0387,0.024,2.94e-06,0.136,0.519,136.001,1
kelly clarkson,my life would suck without you,2009,1,0.526,0.882,9,-4.006,1,0.0509,0.0014,0,0.144,0.424,144.982,0
abysmal dawn,programmed to consume,2008,0,0.407,0.986,1,-6.494,1,0.286,0.000364,0.275,0.121,0.111,125.317,0
martin sexton,ice cream man,2002,0,0.628,0.659,8,-8.664,0,0.0728,0.0416,0.000554,0.977,0.42,133.811,0
dragonforce,through the fire and flames,2006,0,0.113,0.951,0,-4.743,0,0.129,0.00176,0.00718,0.334,0.139,200.024,1
steve vai,the murder prologue,2007,0,0.152,0.539,10,-8.173,0,0.0387,0.0206,0.372,0.373,0.0906,93.906,0
los fabulosos cadillacs,vos sabes,2008,0,0.707,0.848,9,-6.095,1,0.0665,0.148,0.00694,0.127,0.867,114.669,0
atari teenage riot,destroy 2000 years of culture,2002,0,0.348,0.935,7,-6.11,1,0.072,0.000522,0.497,0.378,0.0336,108.179,0
olivia,bizounce,2001,0,0.785,0.539,7,-8.23,1,0.0505,0.0134,8.61e-06,0.0528,0.721,137.999,1
david arkenstone,drifting,2009,0,0.724,0.474,10,-11.693,1,0.0578,0.407,0.838,0.0977,0.572,80.018,0
john frizzell,no unexpected guests,2002,0,0.231,0.108,0,-22.97,0,0.0379,0.677,0.821,0.111,0.0362,85.517,0
marques houston,naked,2009,0,0.75,0.511,9,-6.73,1,0.209,0.0863,6.76e-06,0.0938,0.395,60.009,1
keira green,my heart goes up,2006,0,0.62,0.99,0,-7.979,1,0.0427,0.0243,0.00052,0.16,0.685,141.004,0
audioslave,show me how to live,2002,0,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,1
matchbox twenty,if youre gone,2000,0,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,1
the statler brothers,white christmas,2004,0,0.347,0.231,0,-11.845,1,0.0276,0.747,0.000284,0.364,0.292,99.707,0
uphill battle,memory,2002,0,0.242,0.93,7,-6.522,1,0.112,8.7e-06,0.398,0.339,0.244,134.967,0
jake owen,startin with me,2006,0,0.487,0.653,11,-5.393,1,0.0522,0.109,5.15e-06,0.112,0.319,159.42,1
inhume,inhume,2008,0,0.178,0.975,6,-4.39,0,0.0875,1.18e-06,0.958,0.0691,0.0355,111.023,0
dimmu borgir,the fundamental alienation,2007,0,0.184,0.949,10,-4.223,1,0.115,1.18e-05,0.125,0.145,0.0697,111.152,0
tanto metro & devonte,give it to her,2009,1,0.76,0.612,7,-6.403,1,0.219,0.0116,0,0.12,0.675,95.018,1
george lopez,only for the young,2009,0,0.432,0.984,9,-8.041,1,0.894,0.817,2.16e-05,0.867,0.0325,112.036,0
snoop dogg,from tha chuuuch to da palace,2005,1,0.78,0.675,1,-5.568,1,0.279,0.257,0,0.0808,0.681,96.88,1
chroma key,salvation,2004,0,0.541,0.423,4,-11.694,0,0.0277,0.468,0.464,0.167,0.217,120.034,0
k-os,aquacityboy,2006,0,0.43,0.914,10,-3.81,1,0.239,0.0181,0,0.244,0.741,93.037,0
spunk,marbles,2005,0,0.488,0.477,1,-13.353,1,0.311,0.0456,8.75e-05,0.284,0.653,60.214,0
bonnie raitt,love sneakin up on you,2003,0,0.483,0.673,7,-8.105,1,0.0438,0.0217,6.53e-06,0.209,0.558,189.704,1
rebecca lynn howard,forgive,2002,0,0.617,0.479,7,-5.635,1,0.0296,0.0364,0,0.1,0.191,134.303,1
this is hell,realization: remorse,2008,0,0.481,0.708,6,-5.832,1,0.0366,6.85e-05,0.295,0.158,0.0568,124.949,0
adam lambert,time for miracles,2009,0,0.26,0.7,2,-3.58,1,0.0312,0.00532,0,0.357,0.202,147.872,1
daddy yankee,a lo clasico,2007,0,0.853,0.84,4,-3.63,0,0.116,0.0476,0,0.142,0.816,91.024,0
casa bulga,afraid of change (tribal vocal mix),2008,0,0.751,0.922,0,-7.695,1,0.0441,0.000102,0.704,0.0399,0.399,125.006,0
kellie pickler,didnt you know how much i loved you,2008,0,0.525,0.795,9,-4.696,1,0.0402,0.245,0,0.098,0.25,137.881,1
ashlee simpson,shadow,2004,0,0.445,0.73,0,-3.823,1,0.0286,0.0418,1.49e-05,0.0983,0.346,77.911,1
taylor swift,hey stephen,2008,1,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48e-06,0.108,0.831,115.994,1
pepper,point and shoot (demo),2007,0,0.465,0.752,9,-7.436,1,0.0505,0.161,0,0.0675,0.41,82.346,0
sara evans,perfect,2007,1,0.39,0.879,4,-4.352,1,0.0813,0.0403,7.03e-06,0.376,0.616,206.072,1
aynsley lister,crazy,2009,0,0.886,0.461,2,-8.684,1,0.0521,0.622,0.00317,0.325,0.718,96.42,0
call to preserve,hope for the fallen,2008,0,0.287,0.997,5,-1.56,0,0.295,0.00014,0.00496,0.363,0.301,157.255,0
sundial aeon,love shelter,2007,0,0.58,0.581,5,-12.557,0,0.0372,0.104,0.821,0.578,0.271,89.997,0
alicia keys,how come you dont call me,2001,0,0.835,0.547,6,-7.69,0,0.0515,0.155,0.000291,0.0579,0.759,124.561,1
five for fighting,superman (its not easy),2000,0,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,1
john mayall & the bluesbreakers,blues city shake down,2006,0,0.561,0.832,4,-5.014,1,0.0327,0.0215,0.933,0.333,0.854,133.053,0
hannah montana,just like you,2006,1,0.622,0.858,4,-3.09,1,0.0386,0.0055,0,0.104,0.67,141.003,1
daddy yankee,descontrol,2010,0,0.729,0.876,6,-3.818,0,0.0679,0.11,0.000715,0.301,0.674,92.993,0
unearth,crow killer,2008,0,0.154,0.942,7,-5.09,1,0.103,8.44e-06,0.0832,0.0738,0.477,177.706,0
sub swara,constructing the absence,2008,0,0.655,0.687,7,-7.89,1,0.0445,0.0915,0.77,0.0865,0.363,152.016,0
jazmine sullivan,bust your windows,2008,1,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,1
amy winehouse,valerie,2007,1,0.739,0.365,5,-5.731,0,0.0415,0.751,1.65e-06,0.161,0.699,96.095,0
avril lavigne,losing grip,2002,0,0.534,0.888,8,-4.667,0,0.0972,0.00128,6.15e-06,0.0772,0.582,158.368,1
the fratellis,flathead,2007,0,0.599,0.942,0,-5.196,1,0.155,0.0118,0,0.327,0.334,105.144,1
taylor swift,the other side of the door,2008,1,0.515,0.815,4,-4.259,1,0.0349,0.223,0,0.245,0.498,81.921,1
t.i.,why you wanna,2006,1,0.802,0.772,1,-4.893,0,0.192,0.358,0,0.0603,0.654,96.046,1
mark wills,how bad do you want it,2003,1,0.591,0.742,2,-5.42,1,0.0309,0.0236,0,0.127,0.696,96.108,0
p!nk,raise your glass,2010,1,0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,1
the pharcyde,the climb/paranoia,2004,0,0.739,0.856,9,-5.708,0,0.283,0.119,1.03e-05,0.237,0.467,80.935,0
marc shaiman,city slickers,2007,0,0.625,0.18,4,-16.52,1,0.0811,0.986,0.909,0.0851,0.288,136.232,0
tracy byrd,the keeper of the stars,2001,1,0.52,0.481,2,-7.479,1,0.0239,0.314,0.000757,0.087,0.216,78.015,1
mario vazquez,gallery,2006,0,0.593,0.651,9,-6.904,0,0.135,0.0169,0,0.141,0.323,86.535,1
the suicide machines,your silence,2003,0,0.388,0.994,10,-2.388,1,0.188,0.0252,3.14e-06,0.094,0.302,145.028,0
high school musical 3 cast,now or never,2008,0,0.747,0.983,5,-3.883,0,0.181,0.112,0,0.706,0.553,114.993,1
bedrock,emerald,2009,0,0.57,0.959,5,-6.579,0,0.059,8.07e-05,0.878,0.149,0.54,130.001,0
helen love,first boyfriend,2007,0,0.69,0.765,8,-6.732,1,0.0558,0.0242,0,0.36,0.967,97.55,0
bassturk,unutmam,2007,0,0.567,0.475,2,-10.095,0,0.067,0.2,0,0.378,0.145,136.075,0
lenny kravitz,dig in,2001,1,0.671,0.921,9,-3.878,1,0.0291,0.0129,0.0235,0.0579,0.825,118.424,1
tim exile,post-toxic finger disorder,2006,0,0.178,0.997,10,-4.64,0,0.274,0.00417,0.0525,0.342,0.419,176.975,0
death cab for cutie,i will possess your heart,2008,1,0.605,0.619,9,-8.971,0,0.0261,0.423,0.313,0.0732,0.578,133.074,1
story of the year,won threw ate,2010,0,0.42,0.99,5,-3.571,0,0.162,0.00143,0,0.399,0.125,144.038,0
martin sexton,white christmas,2005,0,0.385,0.0772,3,-10.49,1,0.033,0.907,3.42e-06,0.098,0.279,178.068,0
john ottman,entanglement,2005,0,0.283,0.18,11,-15.715,1,0.0536,0.683,0.689,0.104,0.0381,136.668,0
jo dee messina,my give a damns busted,2005,0,0.665,0.874,2,-4.082,1,0.0308,0.143,1.05e-05,0.251,0.766,103.98,1
trick trick / obie trice,war,2005,0,0.881,0.573,10,-7.143,0,0.543,0.0107,2.78e-05,0.179,0.249,90.053,0
the pharcyde,italian for goodbye (skit),2004,0,0,0.313,6,-16.433,1,0,0.94,8.58e-06,0.0876,0,0,0
maroon 5,sweetest goodbye,2002,0,0.566,0.819,1,-5.951,1,0.104,0.167,0,0.187,0.708,164.004,0
darden smith,perfect moment,2003,0,0.643,0.348,6,-12.417,1,0.0283,0.752,0.0099,0.112,0.597,82.501,0
george lopez,kids now,2006,0,0.349,0.866,3,-13.594,1,0.938,0.863,1.9e-05,0.911,0.11,73.779,0
dj harry,shadows,2004,0,0.624,0.678,9,-7.301,1,0.044,0.102,0.0579,0.0864,0.396,91.046,0
dixie chicks,landslide,2002,1,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,1
statues,the last stand,2007,0,0.327,0.962,9,-5.411,1,0.0801,0.000495,6.66e-06,0.191,0.701,182.71,0
kaizers orchestra,container,2003,0,0.509,0.79,1,-4.375,0,0.0557,0.0148,0,0.169,0.787,137.982,0
luke bryan,country man,2007,0,0.739,0.836,4,-4.433,1,0.0307,0.031,0,0.494,0.858,120.001,1
katy perry,thinking of you,2008,0,0.431,0.803,4,-4.459,1,0.0364,0.00167,0,0.331,0.309,147.048,1
cascada,everytime we touch,2005,0,0.64,0.989,8,-3.707,1,0.0708,0.00328,2.07e-06,0.364,0.49,142.024,1
k-os,b-boy stance,2004,0,0.768,0.874,0,-5.766,0,0.248,0.199,0,0.0789,0.843,98.038,0
taking dawn,black diamond,2010,0,0.44,0.911,7,-4.568,0,0.0779,0.0192,0.0165,0.108,0.128,144.985,0
alexandre desplat,le chagrin de coco,2009,0,0.176,0.123,5,-19.615,0,0.0344,0.901,0.755,0.0779,0.0371,71.581,0
dead prez,be healthy,2000,0,0.78,0.482,2,-8.6,0,0.321,0.461,0,0.217,0.669,85.978,0
trace adkins,this aint no love song,2010,1,0.505,0.886,4,-4.886,1,0.0597,0.0771,0.000219,0.125,0.591,159.96,1
red hot chili peppers,dani california,2006,1,0.553,0.865,9,-4.751,0,0.0409,0.017,1.05e-05,0.267,0.735,96.161,1
